Faixa,n,Tipo,Metodo,n_inst,Avg_F(S),T(sec),Dev_med_%,Dev_melhor_%,#Opt,F_desvio_med
pequenas,20,P,GRASP,120,3691.056782887225,0.03807818883333333,-3.280147164881318e-05,-3.280147164881318e-05,120,0.0
pequenas,20,P,BVNS-R,120,3691.0789983394884,0.024781965,0.00033481473875856974,-3.280147164881318e-05,120,0.07025142840287561
pequenas,20,P,BVNS-G,120,3695.7698221769942,0.0173864145,0.05232962286347455,-3.280147164881318e-05,120,3.256911559297597
pequenas,20,P,RVNS-R,120,4067.8997450689717,0.0008057145833333334,13.208720192521744,0.6371556330678384,104,363.38639137683873
pequenas,20,P,RVNS-G,120,3697.6461785677443,0.0083321725,0.10525302578620582,-3.280147164881318e-05,120,3.114307804808312
pequenas,20,R,GRASP,120,11952.625313416569,0.041049394083333336,0.003382716243588639,2.1678832919718794e-14,120,1.0846538554737042
pequenas,20,R,BVNS-R,120,11955.331613817561,0.02570706025,0.03020526134057202,2.1678832919718794e-14,120,9.642727155238727
pequenas,20,R,BVNS-G,120,12057.849862775123,0.019137784166666668,0.9386480642089061,2.1678832919718794e-14,120,156.7931648402816
pequenas,20,R,RVNS-R,120,13675.088856234674,0.0008229161666666666,17.110380285867194,1.5680944530972,96,1389.643385273431
pequenas,20,R,RVNS-G,120,12118.586209502873,0.00858252175,1.5164624070442372,0.08085127120559728,118,204.89653982336029
pequenas,40,P,GRASP,120,22971.09950155458,0.25189943175,-4.803289393049465e-15,-4.803289393049465e-15,120,0.0
pequenas,40,P,BVNS-R,120,22971.09950155458,0.14726191608333333,-4.803289393049465e-15,-4.803289393049465e-15,120,0.0
pequenas,40,P,BVNS-G,120,22974.36411012525,0.09620047208333334,0.011819654917292548,-4.803289393049465e-15,120,5.983067829067983
pequenas,40,P,RVNS-R,120,25791.186490993634,0.0027844269166666666,14.074540773991288,2.4618631953101375,54,1878.2099079618938
pequenas,40,P,RVNS-G,120,22979.324899534142,0.039653723833333335,0.03542491262967121,-4.803289393049465e-15,120,11.593535110891937
pequenas,40,R,GRASP,120,44833.90709068947,0.26925528791666664,0.005058657403549654,-2.7908952169381754e-15,120,3.6678881989635945
pequenas,40,R,BVNS-R,120,44847.33306168175,0.15899257491666666,0.03604570193630754,-2.7908952169381754e-15,120,33.631430846258056
pequenas,40,R,BVNS-G,120,45076.25977380345,0.10651230775,0.6236582540692237,0.005592837422662372,119,294.1139138889303
pequenas,40,R,RVNS-R,120,52570.411201124785,0.0028022263333333333,19.581206541569244,5.800955131053518,44,4231.652360429218
pequenas,40,R,RVNS-G,120,45273.907708135244,0.040966575416666665,1.0643775305625627,0.06732029628391459,116,457.5151107926782
pequenas,60,P,GRASP,120,69741.68231840702,0.68588485325,-2.934235150015298e-13,-2.934235150015298e-13,120,0.0
pequenas,60,P,BVNS-R,120,69741.68231840702,0.3882010275,-2.934235150015298e-13,-2.934235150015298e-13,120,0.0
pequenas,60,P,BVNS-G,120,69786.16267047497,0.25569757683333333,0.06572184389074834,-2.934235150015298e-13,120,41.63605295567731
pequenas,60,P,RVNS-R,120,78969.91552265489,0.006232418916666667,13.546584204416623,3.8214963219885814,34,5198.453554109176
pequenas,60,P,RVNS-G,120,69835.7871502236,0.09984556541666667,0.13709684186541668,0.015990950288178127,118,52.861482156089565
pequenas,60,R,GRASP,120,93998.95492007413,0.75580603375,0.009146757672581083,-4.3428087493829547e-13,120,10.786147649447647
pequenas,60,R,BVNS-R,120,94073.85739973914,0.4425833605,0.1078884064216287,-4.3428087493829547e-13,120,141.44635899472004
pequenas,60,R,BVNS-G,120,94507.95821192107,0.2789883263333333,0.6068392644202579,0.032117219895707864,117,600.8746350136763
pequenas,60,R,RVNS-R,120,109790.34147279379,0.00623392075,18.11941296204963,6.46910201516636,29,7737.403538925179
pequenas,60,R,RVNS-G,120,94822.58004702351,0.10498427741666666,0.9694112049125996,0.13964933743957028,113,765.823088717574
pequenas,80,P,GRASP,120,69425.95615080307,1.2972168104166666,-1.0226233790232943e-14,-1.0226233790232943e-14,120,0.0
pequenas,80,P,BVNS-R,120,69426.48667345272,0.7168587820833333,0.0007483753917869202,-1.0226233790232943e-14,120,1.6776599231862261
pequenas,80,P,BVNS-G,120,69494.08930475196,0.46466636633333336,0.08303172377720182,-1.0226233790232943e-14,120,80.57143042451683
pequenas,80,P,RVNS-R,120,78126.36029629543,0.010387103583333333,13.025100692227387,4.095709902212956,28,4408.797653648267
pequenas,80,P,RVNS-G,120,69530.16354122022,0.18004799716666667,0.14501381706259964,-1.0226233790232943e-14,120,103.26387885859627
pequenas,80,R,GRASP,120,126342.10553481228,1.4889376323333334,0.010574255857415204,-3.1933338709846377e-14,120,16.7027411821955
pequenas,80,R,BVNS-R,120,126510.17454149699,0.8706971185,0.15315599849731049,-3.1933338709846377e-14,120,359.7529179999472
pequenas,80,R,BVNS-G,120,127100.64686681627,0.5188441991666667,0.6295834986917915,0.03765202541995435,115,654.2407696749966
pequenas,80,R,RVNS-R,120,148933.17365286816,0.01042356025,18.763161671110364,6.73260083999626,17,10308.065698649494
pequenas,80,R,RVNS-G,120,127590.4411421029,0.19160566525,1.06270264937801,0.16329850471141216,110,963.9976393717676
